연도,월,측정소명,오존(O3),미세먼지(PM10),초미세먼지(PM2점5),주소,위도,경도,관리부서,전화번호,데이터기준일자
2025,1,상대동,0.0221,33,23,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,1,상봉동,0.0242,29,21,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,1,정촌면,0.0168,37,23,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,2,대안동,0.03,27,13,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,2,상대동,0.0304,28,16,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,2,상봉동,0.0323,34,14,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,2,정촌면,0.0223,30,16,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,3,대안동,0.0398,37,20,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,3,상대동,0.0399,38,21,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,3,상봉동,0.0422,33,18,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,3,정촌면,0.0322,39,19,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,4,대안동,0.0447,34,17,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,4,상대동,0.0435,37,19,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,4,상봉동,0.0472,31,15,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,4,정촌면,0.0374,34,15,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,5,대안동,0.0418,25,16,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,5,상대동,0.0406,29,19,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,5,상봉동,0.0426,23,14,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,5,정촌면,0.0339,30,14,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,6,대안동,0.0424,23,17,경상남도 진주시 진주대로 1052(대안동),35.19354372,128.0845176,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,6,상대동,0.0439,29,21,경상남도 진주시 동진로 279 (상대동),35.18082,128.1219,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,6,상봉동,0.0445,22,14,경상남도 진주시 북장대로64번길 14(상봉동),35.19589411,128.0745707,경상남도 보건환경연구원,055-254-2366,2025-07-07
2025,6,정촌면,0.0344,29,14,경상남도 진주시 정촌면 산단중앙로 70,35.12294549,128.1036659,경상남도 보건환경연구원,055-254-2366,2025-07-07
